epoch,accuracy,loss,val_accuracy,val_loss
0,0.3809524,1.0815359881472966,0.5833333134651184,2.2621567249298096
1,0.5793651,0.8341318263214023,0.5833333134651184,3.656466007232666
2,0.65873015,0.7026910241101942,0.5833333134651184,3.015324354171753
3,0.6984127,0.6127809288288791,0.6666666865348816,3.714432716369629
4,0.7380952,0.5566700867225697,0.75,3.9389424324035645
5,0.8015873,0.44077883123943123,0.75,4.92149543762207
6,0.84126985,0.3657456479879531,0.8333333134651184,4.938268661499023
7,0.8968254,0.287126965581502,0.8333333134651184,6.594141006469727
8,0.9047619,0.27085157325840525,0.75,4.623318672180176
9,0.8968254,0.26643769087084707,0.8333333134651184,4.797687530517578
